VehicleDescription,VehicleId,Make_Model,OverallRating
2022 Ford Bronco 2DR SUV 4WD,17037,Ford BRONCO,Not Rated
2022 Ford Bronco 4DR SUV 4WD,16331,Ford BRONCO,Not Rated
2022 Ford Bronco Sport SUV 4WD,16332,Ford BRONCO SPORT,5
2022 Ford EcoSport SUV AWD,16376,Ford ECOSPORT,4
2022 Ford EcoSport SUV FWD,16333,Ford ECOSPORT,4
2022 Ford Edge SUV AWD,16377,Ford EDGE,5
2022 Ford Edge SUV FWD,16334,Ford EDGE,5
2022 Ford Escape SUV AWD,16378,Ford ESCAPE,5
2022 Ford Escape SUV FWD,16335,Ford ESCAPE,5
2022 Ford Escape HEV SUV AWD,16379,Ford ESCAPE HEV,5
2022 Ford Escape HEV SUV FWD,16336,Ford ESCAPE HEV,5
2022 Ford Escape PHEV SUV FWD,16337,Ford ESCAPE PHEV,5
2022 Ford Expedition SUV 4WD,16380,Ford EXPEDITION,5
2022 Ford Expedition SUV 2WD,16338,Ford EXPEDITION,5
2022 Ford Expedition EL SUV 4WD,16381,Ford EXPEDITION EL,5
2022 Ford Expedition EL SUV 2WD,16339,Ford EXPEDITION EL,5
2022 Ford Explorer SUV 4WD,16382,Ford EXPLORER,Not Rated
2022 Ford Explorer SUV RWD,16340,Ford EXPLORER,Not Rated
2022 Ford Explorer HEV SUV 4WD,16383,Ford EXPLORER HEV,Not Rated
2022 Ford Explorer HEV SUV RWD,16341,Ford EXPLORER HEV,Not Rated
2022 Ford F-150  Regular Cab PU/RC 4WD,16384,Ford F-150  REGULAR CAB,5
2022 Ford F-150  Regular Cab PU/RC 2WD,16342,Ford F-150  REGULAR CAB,5
2022 Ford F-150  Super Cab PU/EC 4WD,16385,Ford F-150  SUPER CAB,5
2022 Ford F-150  Super Cab PU/EC 2WD,16343,Ford F-150  SUPER CAB,5
2022 Ford F-150 (Super Crew) Lightning BEV 4WD,16348,Ford F-150 (Super Crew) Lightning BEV,5
