,report_received_date,nhtsa_id,recall_link,manufacturer,subject,component,mfr_campaign_number,recall_type,potentially_affected,defect_summary,consequence_summary,corrective_action,fire_risk_when_parked,do_not_drive,completion_rate
0,2023-12,23V837000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V837000', 'description': 'Go to Recall'}",Mazda North American Operations,Replacement Air Bag Inflator Incorrectly Installed,AIR BAGS,6423L,Vehicle,12741,Mazda North American Operations (Mazda) is recalling certain 2004-2006 B-Series vehicles that received replacement front passenger air bag inflators under a previous recall.  The replacement front passenger air bag inflators may have been installed incorrectly.,"An incorrectly installed inflator may not properly inflate the passenger air bag, increasing the risk of injury during a crash.","Dealers will inspect and reinstall the front passenger air bag inflator, as necessary, free of charge.  Owner notification letters are expected to be mailed January 12, 2024.  Owners may contact Mazda customer service at 1-800-222-5500 Option 6.  Mazda's number for this recall is 6423L.",No,No,0
1,2023-12,23V839000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V839000', 'description': 'Go to Recall'}",Great Dane Trailers,Loose Axle Spindle Nut May Cause Wheel Detachment,SUSPENSION,NR (Not Reported),Vehicle,346,Great Dane Trailers (Great Dane) is recalling certain 2024 Champion trailers.  The axle spindle nut may have been improperly tightened.,"A loose axle spindle nut can allow the wheel to detach from the trailer, increasing the risk of a crash.","Great Dane will inspect and tighten the axle spindle nut as necessary, free of charge.  Owner notification letters are expected to be mailed February 10, 2024.  Owners may contact Great Dane customer service at 1-877-369-3493.",No,No,0
2,2023-12,23V838000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V838000', 'description': 'Go to Recall'}","Tesla, Inc.",Autopilot Controls Insufficient to Prevent Misuse,ELECTRICAL SYSTEM,SB-23-00-008,Vehicle,2031220,"Tesla, Inc. (Tesla) is recalling 2012-2023 Model S, 2016-2023 Model X, 2017-2023 Model 3, and 2020-2023 Model Y vehicles equipped with all versions of Autosteer leading up to the version(s) that contains the recall remedy.  In certain circumstances when Autosteer is engaged, the prominence and scope of the feature's controls may not be sufficient to prevent driver misuse of the SAE Level 2 advanced driver-assistance feature.","In certain circumstances when Autosteer is engaged, and the driver does not maintain responsibility for vehicle operation and is unprepared to intervene as necessary or fails to recognize when Autosteer is canceled or not engaged, there may be an increased risk of a crash.","Tesla will release an over-the-air (OTA) software update, free of charge.  Owner notification letters are expected to be mailed February 10, 2024.   Owners may contact Tesla customer service at 1-877-798-3752.  Tesla's number for this recall is SB-23-00-008.",No,No,0
3,2023-12,23V835000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V835000', 'description': 'Go to Recall'}","Mercedes-Benz USA, LLC",Improperly Secured 12-Volt Ground Connection,ELECTRICAL SYSTEM,NR (Not Reported),Vehicle,164,"Mercedes-Benz USA, LLC (MBUSA) is recalling certain 2021-2022 GLE350 and GLE450 vehicles.  A 12-Volt ground connection under the driver seat may not be secured properly, resulting in the ground connection overheating.",An overheated ground connection can increase the risk of a fire.,"Dealers will inspect and secure the 12-Volt ground connection as necessary, free of charge.  Owner notification letters are expected to be mailed February 6, 2024.  Owners may contact MBUSA customer service at 1-800-367-6372.",No,No,0
4,2023-12,23V836000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V836000', 'description': 'Go to Recall'}",Harley-Davidson Motor Company,Motorcycle Difficult to Control at High Speeds,ENGINE AND ENGINE COOLING,0185,Vehicle,1464,"Harley-Davidson Motor Company (Harley-Davidson) is recalling certain 2023 FLHXSE (Street Glide CVO) motorcycles.  The motorcycle may react unexpectedly and become difficult to control when traveling at certain high speeds, especially on rough roads or through wind gusts.",A motorcycle that is difficult to control can increase the risk of a crash.,"Dealers will update the engine control module software and install a ballast and strap, free of charge.  Owner notification letters are expected to be mailed December 22, 2023.  Owners may contact Harley-Davidson customer service at 1-800-258-2464.  Harley-Davidson's number for this recall is 0185.",No,No,0
5,2023-12,23V834000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V834000', 'description': 'Go to Recall'}","Forest River, Inc.",Insuffeciently Reflective Taillights/FMVSS 108,EXTERIOR LIGHTING,79-1711,Vehicle,30,"Forest River, Inc. (Forest River) is recalling certain 2024 XLR Boost toy haulers.  The taillights may be insufficiently reflective.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 108, ""Lamps, Reflective Devices, and Associated Equipment.""","Taillights that do not reflect enough light reduce the vehicle's visibility to other drivers, increasing the risk of a crash.","Dealers will install reflector stickers, free of charge.  Owner notification letters are expected to be mailed January 17, 2024.  Owners may contact Forest River Customer Service at 1-574-642-0432.  Forest River's number for this recall is 79-1711.",No,No,0
6,2023-12,23V833000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V833000', 'description': 'Go to Recall'}",REV Recreation Group,Air Deflector Bracket May Detach from Vehicle,STRUCTURE,231205REV,Vehicle,259,REV Recreation Group (REV) is recalling certain 2016-2023 American Coach American Eagle motorhomes.  Turbulence may loosen or break the rear air deflector mounting bracket hardware.,"Loose or broken mounting bracket hardware can allow the deflector to detach from the vehicle, becoming a road hazard and increasing the risk of a crash.","Dealers will replace the attachment hardware bracket and fasteners, free of charge.  Owner notification letters are expected to be mailed February 3, 2024.  REV's number for this recall is 231205REV.",No,No,0
7,2023-12,23V824000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V824000', 'description': 'Go to Recall'}","Altec Industries, Inc.",Misaligned Welder May Detach from Vehicle,STRUCTURE,CSN 3133,Vehicle,43,"Altec Industries, Inc. (Altec) is recalling certain 2021-2023 CB5-132D-S vehicles equipped with a Bobcat 260 welder installed on a track system.  The welder may be misaligned, preventing the mounting fasteners from being properly tightened.","Loose fasteners can allow the welder to detach from the vehicle, becoming a road hazard and increasing the risk of a crash.","Altec will align the welder and tighten the fasteners, free of charge.  Owner notification letters are expected to be mailed February 02, 2024.  Owners may contact Altec customer service at 1-877-462-5832.  Altec's number for this recall is CSN 3133.",No,No,0
8,2023-12,23V827000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V827000', 'description': 'Go to Recall'}","Volvo Car USA, LLC",Second-Row Seat Belt Buckle Not Tightened Properly,SEAT BELTS,R10259,Vehicle,2911,"Volvo Car USA, LLC (Volvo Car) is recalling certain 2015-2024 XC90 vehicles.  The second-row seat belt buckle and lower belt anchor bolts may not be tightened properly.","An improperly tightened seat belt buckle may not restrain an occupant as intended, increasing their risk of injury during a crash.","Dealers will inspect and tighten the second-row seat belt buckle anchorage bolts, as necessary, free of charge.  Owner notification letters are expected to be mailed January 29, 2024.  Owners may contact Volvo Car customer service at 1-800-458-1552.  Volvo Car's number for this recall is R10259.",No,No,0
9,2023-12,23V826000,"{'url': 'https://www.nhtsa.gov/recalls?nhtsaId=23V826000', 'description': 'Go to Recall'}",Lamborghini (Automobili Lamborghini),Incorrectly Adjusted Headlights/FMVSS 108,ELECTRICAL SYSTEM,L62X-R.01.24,Vehicle,7805,"Lamborghini (Automobili Lamborghini) is recalling certain 2015-2024 Huracan vehicles.  The headlights may be incorrectly adjusted.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 108, ""Lamps, Reflective Devices, and Associated Equipment.""","Incorrectly adjusted headlights can reduce the visibility of oncoming traffic, increasing the risk of a crash.","Dealers will update the software to deactivate the headlight functions for Tourist Mode and the Adaptive Front-lighting System (AFS), free of charge.  Owner notification letters are expected to be mailed February 1, 2024.  Owners may contact Lamborghini customer service at 1-866-681-6276.  Lamborghini's number for this recall is L62X-R.01.24.",No,No,0
