,Manufacturer,NHTSACampaignNumber,parkIt,parkOutSide,ReportReceivedDate,Component,Summary,Consequence,Remedy,Notes,ModelYear,Make,Model,NHTSAActionNumber,VehicleDescription,VehicleId
0,Ford Motor Company,22V411000,False,False,10/06/2022,LATCHES/LOCKS/LINKAGES:DOORS:LOCK,"Ford Motor Company (Ford) is recalling certain four-door 2021-2022 Bronco vehicles. The passenger-side rear door may be opened from inside of the vehicle when the child safety lock is in the ""ON"" position.",A malfunctioning child safety lock increases the risk of injury to a child occupant.,"Dealers will inspect the passenger-side child safety locks door child safety lock and latch, and replace them, if necessary, free of charge.  Owner notification letters were mailed June 28, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 22S44.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 2DR SUV 4WD,17037
1,Ford Motor Company,22V411000,False,False,10/06/2022,LATCHES/LOCKS/LINKAGES:DOORS:LOCK,"Ford Motor Company (Ford) is recalling certain four-door 2021-2022 Bronco vehicles. The passenger-side rear door may be opened from inside of the vehicle when the child safety lock is in the ""ON"" position.",A malfunctioning child safety lock increases the risk of injury to a child occupant.,"Dealers will inspect the passenger-side child safety locks door child safety lock and latch, and replace them, if necessary, free of charge.  Owner notification letters were mailed June 28, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 22S44.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 4DR SUV 4WD,16331
2,Ford Motor Company,22V451000,False,False,24/06/2022,VISIBILITY:WINDSHIELD,"Ford Motor Company (Ford) is recalling certain 2022 Bronco and Ranger vehicles.  The windshield may not have been properly bonded to the vehicle, which could allow it to detach during a crash.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 212, ""Windshield Mounting.""",A windshield that separates from a vehicle during a crash can increase the risk of injury.,"Dealers will remove and reinstall the windshield, free of charge.  Owner notification letters were mailed July 18, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 22C12.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 2DR SUV 4WD,17037
3,Ford Motor Company,22V451000,False,False,24/06/2022,VISIBILITY:WINDSHIELD,"Ford Motor Company (Ford) is recalling certain 2022 Bronco and Ranger vehicles.  The windshield may not have been properly bonded to the vehicle, which could allow it to detach during a crash.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 212, ""Windshield Mounting.""",A windshield that separates from a vehicle during a crash can increase the risk of injury.,"Dealers will remove and reinstall the windshield, free of charge.  Owner notification letters were mailed July 18, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 22C12.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 4DR SUV 4WD,16331
4,Ford Motor Company,22V825000,False,False,03/11/2022,BACK OVER PREVENTION: SENSING SYSTEM: CAMERA,"Ford Motor Company (Ford) is recalling certain 2021-2022 Bronco vehicles equipped with rearview camera systems and 8-inch screen displays.  The rearview camera image may still be displayed after a backing event has ended.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""","A rearview image that continues to be displayed after the vehicle is shifted out of reverse may distract the driver, increasing the risk of a crash.","The SYNC module software will be updated by a dealer, or through an over-the-air (OTA) update, free of charge.  Owner notification letters were mailed December 23, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 22C27.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 2DR SUV 4WD,17037
5,Ford Motor Company,22V825000,False,False,03/11/2022,BACK OVER PREVENTION: SENSING SYSTEM: CAMERA,"Ford Motor Company (Ford) is recalling certain 2021-2022 Bronco vehicles equipped with rearview camera systems and 8-inch screen displays.  The rearview camera image may still be displayed after a backing event has ended.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""","A rearview image that continues to be displayed after the vehicle is shifted out of reverse may distract the driver, increasing the risk of a crash.","The SYNC module software will be updated by a dealer, or through an over-the-air (OTA) update, free of charge.  Owner notification letters were mailed December 23, 2022.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 22C27.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 4DR SUV 4WD,16331
6,Ford Motor Company,22V928000,False,False,14/12/2022,AIR BAGS:SENSOR:SIDE IMPACT,Ford Motor Company (Ford) is recalling certain 2021-2022 Bronco vehicles.  The right or left side impact sensors may not be properly secured to the vehicle.,"An improperly secured side impact sensor may cause the air bags to unintentionally deploy, or not to deploy as intended, increasing the risk of injury in a crash.","Dealers will inspect the side impact sensor attachments and repair, as necessary, free of charge.  Owner notification letters were mailed January 20, 2023.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 22S77.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 2DR SUV 4WD,17037
7,Ford Motor Company,22V928000,False,False,14/12/2022,AIR BAGS:SENSOR:SIDE IMPACT,Ford Motor Company (Ford) is recalling certain 2021-2022 Bronco vehicles.  The right or left side impact sensors may not be properly secured to the vehicle.,"An improperly secured side impact sensor may cause the air bags to unintentionally deploy, or not to deploy as intended, increasing the risk of injury in a crash.","Dealers will inspect the side impact sensor attachments and repair, as necessary, free of charge.  Owner notification letters were mailed January 20, 2023.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 22S77.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 4DR SUV 4WD,16331
8,Ford Motor Company,23V070000,False,False,10/02/2023,POWER TRAIN:AUTOMATIC TRANSMISSION,"Ford Motor Company (Ford) is recalling certain 2022-2023 F-150, Mustang, Explorer, Bronco, and 2023 Lincoln Aviator vehicles equipped with automatic transmissions.  The transmission may contain a loose bolt which could prevent the transmission from engaging the park gear, although the gear shifter position may indicate that the vehicle has been shifted to ""PARK.""","The inability to secure the vehicle in the park position can result in a rollaway, increasing the risk of a crash or injury.","Dealers will inspect and, if necessary, replace the transmissions, free of charge.  Owner notification letters were mailed April 25, 2023.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 23S06.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 2DR SUV 4WD,17037
9,Ford Motor Company,23V070000,False,False,10/02/2023,POWER TRAIN:AUTOMATIC TRANSMISSION,"Ford Motor Company (Ford) is recalling certain 2022-2023 F-150, Mustang, Explorer, Bronco, and 2023 Lincoln Aviator vehicles equipped with automatic transmissions.  The transmission may contain a loose bolt which could prevent the transmission from engaging the park gear, although the gear shifter position may indicate that the vehicle has been shifted to ""PARK.""","The inability to secure the vehicle in the park position can result in a rollaway, increasing the risk of a crash or injury.","Dealers will inspect and, if necessary, replace the transmissions, free of charge.  Owner notification letters were mailed April 25, 2023.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 23S06.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,Ford,BRONCO,,2022 Ford Bronco 4DR SUV 4WD,16331
